Court,State,Judge,Tdecisions,Pgrant,Pother,Pdeny
Adelanto,California,"Depowell, Bryan E.",110,4.5,6.4,89.1
Adelanto,California,"Penalosa, Jose Luis, Jr.",248,22.6,2,75.4
Adelanto,California,"Left, James M.",396,21.2,4.3,74.5
Adelanto,California,"Walker, Nathaniel B.",166,20.5,9,70.5
Adelanto,California,"Lee, Amy T.",446,26.7,6.5,66.8
Adelanto,California,"Santos-Garcia, Sandra J.",258,30.6,5,64.3
Adelanto,California,"Simons, Ian R.",107,39.3,0,60.7
Adelanto,California,"Bjornerud, Maria",237,51.1,2.5,46.4
,,,,,,
Arlington,Virginia,"White, David",151,4.6,0,95.4
Arlington,Virginia,"O'Brien, Matthew",272,5.9,0.4,93.8
Arlington,Virginia,"McCloskey, Paul A.",770,10,1,89
Arlington,Virginia,"Bain, Quynh Vu",641,23.4,0.8,75.8
Arlington,Virginia,"Choi, Raphael",540,28.1,0.4,71.5
Arlington,Virginia,"Torg, Cynthia S.",570,29.5,1.4,69.1
Arlington,Virginia,"Barnes, John C.",289,35.6,0.7,63.7
Arlington,Virginia,"Spath, Vance H.",532,38.5,0.2,61.3
Arlington,Virginia,"Hladylowycz, Roxanne C.",208,37,2.4,60.6
Arlington,Virginia,"Cardona, Lisa De",189,36,3.7,60.3
Arlington,Virginia,"Farrar-Crockett, Emily",214,39.7,2.8,57.5
Arlington,Virginia,"Donoso-Stevens, Karen",266,41.4,1.9,56.8
Arlington,Virginia,"Snow, Thomas G.",338,44.7,2.1,53.3
Arlington,Virginia,"Manuel, Elise",228,46.5,4.4,49.1
Arlington,Virginia,"Kelly, Wynne P.",308,50.6,1.3,48.1
Arlington,Virginia,"Bryant, John Milo",274,51.1,1.1,47.8
Arlington,Virginia,"Nadkarni, Deepali",421,49.6,2.6,47.7
Arlington,Virginia,"Mendez, Francisco",615,50.2,2.4,47.3
Arlington,Virginia,"Perlman, Helaine R.",231,49.8,3,47.2
Arlington,Virginia,"Lukose, Lolita M.",380,53.4,0.5,46.1
Arlington,Virginia,"Owens, Robert P.",298,59.1,1.3,39.6
Arlington,Virginia,"Hong, J. Traci",180,66.1,0.6,33.3
Arlington,Virginia,"Soper, Emmett D.",534,65.4,2.4,32.2
Arlington,Virginia,"Kaplan, Elliot",150,70.7,2,27.3
Arlington,Virginia,"Burman, Lawrence O.",645,82.6,4.5,12.9
,,,,,,
Atlanta,Georgia,"Wilson, Earle B.",178,1.7,0,98.3
Atlanta,Georgia,"Gillies, John M.",295,2,0.3,97.6
Atlanta,Georgia,"Criss, Scott D.",133,3,0.8,96.2
Atlanta,Georgia,"Farrar-Crockett, Emily",367,4.6,0,95.4
Atlanta,Georgia,"Maldonado, Njeri B.",513,6.8,0,93.2
Atlanta,Georgia,"Taylor, Philip P.",149,4.7,2.7,92.6
Atlanta,Georgia,"Fisher, Ryan",220,10.5,1.8,87.7
Atlanta,Georgia,"Doughty, Blake",318,12.6,0,87.4
Atlanta,Georgia,"Barr, Philip A.",301,13,0.7,86.4
Atlanta,Georgia,"Schnitzer, Michael",113,11.5,7.1,81.4
Atlanta,Georgia,"Watson, Bryan D.",195,27.2,0,72.8
,,,,,,
Atlanta - ATD,Georgia,"Gallow, Sheila E.",100,11,2,87
,,,,,,
Aurora,Colorado,"Sims, Deitrich H.",149,2,6.7,91.3
Aurora,Colorado,"McGrail, Elizabeth H.",320,26.6,6.9,66.6
Aurora,Colorado,"Caley, Steven",352,27.3,8.5,64.2
Aurora,Colorado,"Carbone, Nina M.",373,46.6,2.4,50.9
,,,,,,
Baltimore,Maryland,"Williams, Phillip T.",1436,26.9,3.1,70
Baltimore,Maryland,"Jones, David M.",194,30.9,3.6,65.5
Baltimore,Maryland,"Padilla, Nelson Vargas",1109,36.1,1.1,62.8
Baltimore,Maryland,"Crosland, David W.",1204,40.9,1.2,58
Baltimore,Maryland,"Kessler, Elizabeth A.",637,46,2.2,51.8
Baltimore,Maryland,"Mahasa, Zakia",944,50.8,1.2,48
Baltimore,Maryland,"Verma, Dinesh C.",577,54.1,1.6,44.4
Baltimore,Maryland,"Koelsch, David",1418,58.1,0.8,41.1
Baltimore,Maryland,"Dornell, Lisa",259,62.5,0.4,37.1
Baltimore,Maryland,"Hartye, Alice S.",194,74.7,4.1,21.1
Baltimore,Maryland,"Slavin, Denise N.",434,86.9,0,13.1
Baltimore,Maryland,"Weil, Jack H.",120,86.7,1.7,11.7
,,,,,,
Batavia,New York,"Aikman, Susan F.",123,6.5,11.4,82.1
,,,,,,
Bloomington,Minnesota,"Miller, Monte G.",464,11.2,3,85.8
Bloomington,Minnesota,"Ward, George James",183,17.5,1.1,81.4
Bloomington,Minnesota,"Sardelli, Brian",387,18.3,0.5,81.1
Bloomington,Minnesota,"Olmanson, Kristin W.",123,18.7,2.4,78.9
Bloomington,Minnesota,"Mazzie, Sarah B.",568,21,1.1,78
Bloomington,Minnesota,"Cardona, Lisa De",284,22.9,1.4,75.7
